C1=CC(=CC=C1N)S(NC2=NN=C(C=C2)OC)(=O)=O
[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H](OC(C)=O)[C@H](C[C@@]34[H])[N+]3(CCCC3)CC=C)[C@@]1(C)C[C@@H]([C@@H](O)C2)N1CCOCC1
CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O
CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)N[C@H]3[C@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)O
CC(C(=O)N[C@H]1[C@H]2N(C1=O)[C@H](C(S2)(C)C)C(=O)O)OC3=CC=CC=C3
CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
C1C(=C(N2[C@H](S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)N[C@H]2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@]([H])(C(O)=O)c1ccsc1)C(O)=O
ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl
CC(=O)O[C@H]1C\C(C)=C\CC\C(C)=C\[C@H]2OC(=O)C(=C)[C@H]12
[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H](OC(C)=O)[C@H](C[C@@]34[H])[N+]3(C)CCCCC3)[C@@]1(C)C[C@@H]([C@H](C2)OC(C)=O)N1CCCCC1
