Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
C1=CC=C(C(O)=C1O)CCCCCCC/C=C\C/C=C\CCC
C(=N)(NC=1C=CC=CC1)NC2=CC=CC=C2
[C@H]1(C=C[C@@H](C1)N2C=3C(N=C2)=C(N=C(N3)N)N4CC(C4)(C5CC5)F)CO
C[N+](C)(C)CCO
CC(=O)Oc1ccccc1C(O)=O
CC(=C)[C@@H]1CC=C(C)C(=O)C1
C1(N(C(N1CCCCCCN=C=O)=O)CCCCCCN=C=O)=O
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCCC(=O)C(O)=O)C(O)=O
NCCO
C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c2csc([NH3+])n2)C(=O)N1S([O-])(=O)=O
O=C1CC(=O)NC(=O)N1
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
C([C@H]1C(S[C@@]2([C@@H](C(N12)=O)N)[H])(C)C)(O)=O
O=c1[nH]sc2ccccc12
[H][C@]12C=C[C@H](O)[C@@H]3Oc4c(OC)ccc5C[C@H]1N(C)CC[C@@]23c45
[H]C([H])=O
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CC(O)CO
OC[C@H](O)[C@@H](O)[C@H](O)CO
[H][C@]12C=C[C@H](O)[C@@H]3Oc4c(O)ccc5C[C@H]1N(C)CC[C@@]23c45
CC(C)=CCC\C(C)=C\CO
O=c1cc[nH]c(=O)[nH]1
Nc1ccc(O)cc1
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])[C@@H](O)C[C@@]1(C)[C@@]2([H])CC[C@]1(O)C(=O)CO
[H][C@]12SCC(CO)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
C[N+](C)(C)CCOP(O)(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CCC[C@H](N)C(O)=O)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
N12C([C@H]([C@]1(SC([C@@H]2C(O)=O)(C)C)[H])NC(CC3=CC=CC=C3)=O)=O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H]1O
COc1cc(C=CC)ccc1O
[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)CCC[C@@H](N)C(O)=O)C(O)=O
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@]2(NC(=O)Cc1cccs1)OC)C(O)=O
OC(=O)Cc1cc(O)ccc1Nc1c(Cl)cc(O)cc1Cl
[H][C@@]12CC(=O)N1C(C(O)=O)=C(COC(C)=O)CS2
Nc1ccc(cc1)\N=N\c1ccccc1
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)COc1ccccc1)C(O)=O
Nc1ccc(cc1)S(O)(=O)=O
C1CO1
N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C([O-])=O)c1ccccc1
C\C1=C/[C@H]2OC(=O)C(=C)[C@@H]2CCC(=C)[C@H](O)CC1
[H][C@@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@@H](O)c1ccnc2ccc(OC)cc12
OC[C@@H]1O[C@@H](O)[C@H](O)[C@H]1O
N[C@@H](Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
C[C@@H](O)CO
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@]([H])(NC(=O)N1CCNC1=O)c1ccccc1)C(O)=O
COc1ccc(cc1OC)C(O)=O
C(CP(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1
OC(=O)Cc1ccccc1
OC(=O)c1ccccc1
C1(C(O)=O)=CC=C(N)C=C1
CCCCOc1cc(ccc1N)C(=O)OCCN(CC)CC
OC(=O)Cc1ccc(OCC=C)c(Cl)c1
CCC1(CC)C(=O)NC(=O)NC1=O
[C@]12(N(C(=C(CS1)OC)C(=O)O)C([C@H]2NC(=O)[C@@H](C=3CC=CCC3)N)=O)[H]
[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])[C@@H](O)C[C@@]1(C)[C@@]2([H])CC[C@]1(OC(=O)CCC)C(=O)CO
CC(C(O)=O)c1ccc(s1)C(=O)c1ccccc1
Nc1ccc(Cc2ccc(N)cc2)cc1
O=C1CCN1
O=C1CC(=O)NC(=S)N1
NC(=O)N1c2ccccc2C2OC2c2ccccc12
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)c1ccccc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(=O)Oc1ccccc1)c1ccccc1)C(O)=O
CC(=C)C(=O)OCCO
OC1=CC=C(OCC2=CC=CC=C2)C=C1
[H]C(=O)C([H])=O
[H][C@]12SCC(Cl)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C(O)=O
[C@]12(N(C(=C(CS1)C[N+]34CCC(CC3)(C(=O)N)CC4)C([O-])=O)C([C@H]2NC(=O)/C(/C5=NSC(=N5)N)=N\OC)=O)[H]
COC(C(C)=C)=O
Nc1nc(cs1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O
[C@]12(N(C(=C(CS1)/C=C/C[N+](CC(N)=O)(CC)C)C(=O)[O-])C([C@H]2NC(=O)/C(/C3=NSC(=N3)N)=N\OCF)=O)[H]
[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@]2(NC(=O)CSCC#N)OC)C(O)=O
[H][C@]12SCC(CSc3nnnn3CS(O)(=O)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](O)c1ccccc1)C(O)=O
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSc4nnnn4C)=C(N3C2=O)C(O)=O)c2ccc(O)cc2)C(=O)C1=O
[H][C@]12SCC(CSc3nnnn3CC(O)=O)=C(N1C(=O)[C@@]2([H])NC(=O)Cc1ccccc1CN)C(O)=O
[C@]12(N(C(=C(CS1)CN3N(C(C=C3)=N)CCO)C(O)=O)C([C@H]2NC(=O)/C(/C4=CSC(=N4)N)=N\OC)=O)[H]
[C@]12(N(C(=C(CS1)C[N+]3=C4N(C=C3)N=CC=C4)C([O-])=O)C([C@H]2NC(=O)/C(/C5=NSC(=N5)N)=N\OC)=O)[H]
[C@]12(N(C(=C(CS1)C[N+]3=CC=CC4=C3CCC4)C([O-])=O)C([C@H]2NC(=O)/C(/C5=CSC(=N5)N)=N\OC)=O)[H]
[H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@]12SCC(COC)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(=O)OC(C)OC(=O)OC(C)C
[H][C@]12SCC(C=CC)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](N)c1ccc(O)cc1)C(O)=O
[H][C@]12SCC(C[n+]3ccc(cc3)C(N)=O)=C(N1C(=O)[C@H]2NC(=O)[C@@H](c1ccccc1)S(O)(=O)=O)C([O-])=O
[H][C@]12SCC(COC(N)=O)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1ccco1)C(O)=O
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(=O)OC(C)OC(C)=O)c1ccco1
[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)c1ccccc1)C(O)=O
[C@]12(N(C(=C(CS1)C[N+]3=CC=CC=C3)C(=O)[O-])C([C@H]2NC(=O)CC=4SC=CC4)=O)[H]
[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O
[H][C@]12SCC(CSc3nnnn3CCN(C)C)=C(N1C(=O)[C@@]2([H])NC(=O)Cc1csc(N)n1)C(O)=O
Clc1ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)cc1
O=C1OC(=O)c2ccccc12
Oc1ccc2c(O)c3ccccc3cc2c1O
CC(=C)C1CC=C(C)C(=O)C1
NCc1ccccc1
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCCC(O)=O)C(O)=O
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O
[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)[C@H](NC(=O)Cc1ccccc1)C(=O)NCc1ccccc1
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1c(Cl)cccc1Cl)C(O)=O
Sc1ccccn1
COc1cc(CCCO)ccc1O
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
OC(=O)Cc1cccs1
C=1(CC=2C(=NC(N)=NC2)N)C=C(C(OC)=C(C1)OC)OC
[H]C(=N)NCCSC1=C(N2C(=O)[C@]([H])([C@@H](C)O)[C@@]2([H])C1)C(O)=O
[C@]12(N(C(=C(CS1)CSC3=NN=C(S3)C)C(=O)O)C([C@H]2NC(=O)CN4C=NN=N4)=O)[H]
O=C1OC(=O)C=C1
CNCCCN1c2ccccc2CCc2ccccc12
[H][C@]12SCC(C[N+]3(C)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C([O-])=O
CC(C)Cc1ccc(cc1)[C@@H](C)C(O)=O
[H][C@@]12CC(=O)N1[C@@H](C(O)=O)\C(O2)=C\CO
COc1cc(CC=C)ccc1O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1Cl)C(O)=O
CC(C(O)=O)c1cccc(Oc2ccccc2)c1
COc1cc(\C=C/C)ccc1O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1c(F)cccc1Cl)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)CSCC=C)C(O)=O
[H]C(=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])N1CCCCCC1
[H]C(=N[C@@H]1C(=O)N2[C@@H](C(=O)OCOC(=O)C(C)(C)C)C(C)(C)S[C@]12[H])N1CCCCCC1
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@]([H])(NC(=O)c1cnc2cccnc2c1O)c1ccccc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@]2(NC(=O)C([H])(C(O)=O)c1ccsc1)OC)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(=O)Oc1ccc2CCCc2c1)c1ccccc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N=C)c1ccccc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C)Oc1ccccc1)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(CC)Oc1ccccc1)C(O)=O
Cc1cc(NS(=O)(=O)c2ccc(NO)cc2)no1
Cc1cc(NS(=O)(=O)c2ccc(cc2)N=O)no1
[O-][N+](=O)c1ccc(F)c(c1)[N+]([O-])=O
OC(=O)c1ccc2C(=O)OC(=O)c2c1
[O-][N+](=O)c1cc(c(Cl)c(c1)[N+]([O-])=O)[N+]([O-])=O
O=c1c(-c2ccccc2)c1-c1ccccc1
Nc1ccc(cc1)\N=C1/C=C(N)\C(\C=C/1N)=N\c1ccc(N)cc1
O=C=NC1CCC(CC1)CC1CCC(CC1)N=C=O
O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1
Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(O)=O
S(Sc1nc2ccccc2s1)c1nc2ccccc2s1
CC(=C)C(=O)OCCOC(=O)C(C)=C
[H]C(=O)CC(C)CCCC(C)(C)O
Cc1ccc(cc1N=C=O)N=C=O
Cc1c(cccc1N=C=O)N=C=O
O=C=NCCCCCCN=C=O
[H][C@@]12Oc3c(OCCN4CCOCC4)ccc4C[C@H]5N(C)CC[C@@]1(c34)[C@@]5([H])C=C[C@@H]2O
CCCCOc1c(OCCCC)c(=O)c1=O
Cc1cc(N)c(C)cc1N
Cc1cc(N)ccc1N
OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)C(O)O[C@H](CO)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
[H]C(=O)O[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(O)=O)=C(CSc3nnnn3C)CS[C@]12[H])c1ccccc1
C=CS(=O)(=O)C=C
Cc1ccc(cc1)N=C=O
O=C=Nc1ccccc1
O=C=Nc1ccc(Cc2ccccc2)cc1
[H][C@]12SCC=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
CNc1ccc(O)cc1
OC(=O)CNc1ccc(O)cc1
[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CSc1ccncc1)C(O)=O
CC12CCCCC1C(=O)OC2=O
CCC(CN1CCOCC1)[N+]([O-])=O
CCC(CN1CCOCC1)(CN1CCOCC1)[N+]([O-])=O
[H][C@]12SCC(CSc3cnns3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
CCCC\C=C/CCCCCCCCCc1cccc(O)c1O
Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C
Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
C1=C(C=C2C=CC(OC2=C1)=O)C
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)c1ccccc1)C(O)=O
CC(C)Cc1ccc(cc1)C(C)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CCC=CC1)C(O)=O
C1CC2OC2CC1C1CO1
C=1C(=CC=C(C1)N=O)CNS(C2=CC=CC3=C2C=CC=C3N(C)C)(=O)=O
Nc1ccc(Nc2ccccc2)cc1
CCCCCCN=C=O
CN=C=O
Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl
CCCCCCCCCCCCCCCc1cc(C)c(C)c(O)c1O
CCCCCCCCCCCCCCCc1c(C)c(C)c(C)c(O)c1O
CCCCCCCCCCCCCCCc1cccc(O)c1O
[H][C@]12SCC(CSc3nnnn3C)=C(N1C(=O)[C@@]2([H])NC(=O)[C@H](NC(=O)c1cnc(C)cc1O)c1ccc(O)cc1)C(O)=O
[H][C@]12SCC(\C=C/c3scnc3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
[H][C@]12SCC(C[N+]3(C)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\c1csc(N)n1)C(O)=O
OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
CCN(CCOC(C)=O)c1ccc(N=Nc2ncc(s2)[N+]([O-])=O)c(C)c1
OC(=O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl
OC(=O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl
CC1CC[C@H](CC1OO)C(C)=C
CC1CC[C@H](CC1(C)OO)C(C)=C
CC(C)C1CCC(C)(CC1)OO
CO[C@]1(NC(=O)C(C(O)=O)c2ccc(O)cc2)[C@H]2OCC(CSc3nnnn3C)=C(N2C1=O)C(O)=O
OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)O[C@H](CO)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
[H]C(N[C@@H](C(O)=O)C(C)(C)S)=C1N=C(Cc2ccccc2)OC1=O
NNC(=O)c1ccncc1
[H]C(N[C@@H](C([O-])=O)C(C)(C)S)=C1N=C(Cc2ccccc2)OC1=O
[H]C(=O)CNC(=O)Cc1ccccc1
[H][C@]1(N[C@@H](C(O)=O)C(C)(C)S1)C1NC(=O)C(NC1=O)c1ccc(O)cc1
OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
O=Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1
ONc1ccc(cc1)S(=O)(=O)Nc1ccccn1
CC(C(O)=O)c1cccc(c1)C(=O)c1ccccc1
CC(C)[C@@H]1CC=C(C)C(=O)C1
OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
[H]C(=O)COCCOc1ccc(Nc2c(Cl)cccc2Cl)c(CC(O)=O)c1
[H][C@]1(O[C@@H](O[C@H](CO)[C@]2([H])O[C@@H](OC[C@H]3O[C@H](OC[C@H]4OC(O)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@@H](O)[C@@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
[H][C@]1(O[C@@H](OC[C@H]2O[C@H](OC[C@H]3OC(O)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)[C@@H]1O
OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)O[C@H](CO)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
OC[C@H]1O[C@H](OC[C@H]2O[C@@H](O)[C@@H](O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
C[C@@H]1O[C@@H](O[C@@H]2[C@@H](NC(C)=O)[C@H](O)O[C@H](CO)[C@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H](O)[C@@H]1O
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](O)[C@H](NC(C)=O)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H]2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H](O)[C@@H]1O
C[C@H](NS(O)(=O)=O)[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c1csc(N)n1)C(O)=O
[O-][N+](=O)c1ccc(CBr)cc1
BrCC(Br)(CCC#N)C#N
CCN(CCO)c1ccc(cc1)\N=N\c1ccc(cc1)[N+]([O-])=O
CC(C)Nc1ccc(Nc2ccccc2)cc1
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
CCN(CC)CC(=O)Nc1c(C)cccc1C
[H][C@]12SCC(C)=C(N1C(=O)[C@H]2N)C(O)=O
CN1CCCCC1C(=O)Nc1c(C)cccc1C
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(OC)cccc1OC)C(O)=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(C1=O)S(C)(=O)=O)c1ccccc1)C(O)=O
NC(=O)N1c2ccccc2CC(O)c2ccccc12
[H][C@]12SCC(Sc3nc(cs3)-c3cc[n+](C)cc3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC)\c1nsc(NP(O)(O)=O)n1)C([O-])=O
[H][C@]12SCC(Sc3nc(cs3)-c3cc[n+](C)cc3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC)\c1nsc(N)n1)C([O-])=O
OCCC(=C)C(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
[H]C(CCCC([H])=Nc1ccc(N)cc1)=N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H]
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(OCC)ccc2ccccc12)C(O)=O
Nc1ccc(cc1)N=Nc1ccc(cc1)[N+]([O-])=O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)c1c(C)onc1-c1ccccc1)C(O)=O
NC(=O)N1c2ccccc2CC(=O)c2ccccc12
[H][C@@]12CC\C(C)=C\CC[C@@]3(C)O[C@]3([H])[C@@]1([H])OC(=O)C2=C
CC(C)(S)[C@@H](N)C(O)=O
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccc(N)cc3)C(=O)N2[C@H]1C(O)=O
OC(=O)COc1ccccc1
CC\C=C\CC(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O
CCCCCCCC(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccc(O)cc3)C(=O)N2[C@H]1C(O)=O
O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1
[O-][N+](=O)c1cc(c(Cl)c(c1Nc1ncc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)c1ccccc1)C(O)=O
CCNC(=S)NCC
C=1(C(C(=CC(C1)=O)OC)=O)CCCCC
CCN(CC)CCOC(=O)c1ccc(N)cc1
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1
NCCCCO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O
CCN=C=S
S=C=Nc1ccccc1
CN\C(NCCSCc1ccc(CN(C)C)o1)=C/[N+]([O-])=O
C1=C(C(=CC(=C1N2N=C(C(=C2O)N=NC=3C=CC(=CC3)S(O)(=O)=O)C)Cl)S(O)(=O)=O)Cl
CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)N[C@H]3[C@@H]4N(C3=O)C(C(S4)(C)C)C(=O)O
[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(c1ccccc1)S(O)(=O)=O)C(O)=O
C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
Nc1ccc(cc1)S(=O)(=O)Nc1ncccn1
